"city","state","geo.id","peer.1","peer.2","peer.3","peer.4","peer.5"
"New York","NY","1600000US3651000","Dallas, TX","Houston, TX","Phoenix, AZ","San Antonio, TX","San Diego, CA"
"Newark","NJ","1600000US3451000","Anchorage, AK","Aurora (CO), CO","Bakersfield, CA","Corpus Christi, TX","Fort Wayne, IN"
"Newport News","VA","1600000US5156000","Madison, WI","Irving, TX","Pasadena (TX), TX","Fort Collins, CO","Boise City, ID"
"Norfolk","VA","1600000US5157000","Springfield (MA), MA","Grand Rapids, MI","Worcester, MA","Fort Lauderdale, FL","Garland, TX"
"Norman","OK","1600000US4052500","Denton, TX","Killeen, TX","Lafayette, LA","Springfield (IL), IL","Charleston (SC), SC"
"North Las Vegas","NV","1600000US3251800","Lancaster, CA","Palmdale, CA","Reno, NV","Amarillo, TX","Grand Prairie, TX"
"Norwalk","CA","1600000US0652526","El Monte, CA","Inglewood, CA","Daly City, CA","Berkeley, CA","Elizabeth, NJ"
"Oakland","CA","1600000US0653000","Colorado Springs, CO","Kansas City (MO), MO","Memphis, TN","Oklahoma City, OK","Tucson, AZ"
"Oceanside","CA","1600000US0653322","Moreno Valley, CA","Glendale (AZ), AZ","Tempe, AZ","Tacoma, WA","Garland, TX"
"Oklahoma City","OK","1600000US4055000","Kansas City (MO), MO","Colorado Springs, CO","Memphis, TN","Tucson, AZ","Virginia Beach, VA"
"Olathe","KS","1600000US2052575","Rochester (MN), MN","Joliet, IL","Cedar Rapids, IA","Midland, TX","Thousand Oaks, CA"
"Omaha","NE","1600000US3137000","Albuquerque, NM","Atlanta, GA","Raleigh, NC","Mesa, AZ","El Paso, TX"
"Ontario","CA","1600000US0653896","San Bernardino, CA","Hayward, CA","Santa Clarita, CA","Boise City, ID","Irving, TX"
"Orange","CA","1600000US0653980","Torrance, CA","Alexandria, VA","Fullerton, CA","Costa Mesa, CA","Downey, CA"
"Orlando","FL","1600000US1253000","New Orleans, LA","Greensboro, NC","Fort Wayne, IN","Tulsa, OK","Lexington-Fayette, KY"
"Overland Park","KS","1600000US2053775","Des Moines, IA","Little Rock, AR","Sioux Falls, SD","Huntsville, AL","Chesapeake, VA"
"Oxnard","CA","1600000US0654652","Glendale (CA), CA","Garden Grove, CA","Huntington Beach, CA","Pomona, CA","Salinas, CA"
"Palm Bay","FL","1600000US1254000","Gainesville, FL","Savannah, GA","Columbia (SC), SC","High Point, NC","South Bend, IN"
"Palmdale","CA","1600000US0655156","Lancaster, CA","North Las Vegas, NV","Reno, NV","Salt Lake City, UT","Grand Prairie, TX"
"Pasadena (CA)","CA","1600000US0656000","Burbank, CA","West Covina, CA","Downey, CA","Fullerton, CA","Costa Mesa, CA"
"Pasadena (TX)","TX","1600000US4856000","Irving, TX","Baton Rouge, LA","Laredo, TX","Fort Collins, CO","Newport News, VA"
"Paterson","NJ","1600000US3457000","Elizabeth, NJ","El Monte, CA","Inglewood, CA","Norwalk, CA","Berkeley, CA"
"Pembroke Pines","FL","1600000US1255775","Aurora (IL), IL","Fontana, CA","Corona, CA","Santa Rosa, CA","Fort Lauderdale, FL"
"Peoria (AZ)","AZ","1600000US0454050","Scottsdale, AZ","North Las Vegas, NV","Palmdale, CA","Reno, NV","Overland Park, KS"
"Peoria (IL)","IL","1600000US1759000","Springfield (IL), IL","Davenport, IA","Cedar Rapids, IA","Fargo, ND","Billings, MT"
"Philadelphia","PA","1600000US4260000","Dallas, TX","Houston, TX","Phoenix, AZ","San Antonio, TX","San Diego, CA"
"Phoenix","AZ","1600000US0455000","Dallas, TX","Houston, TX","San Antonio, TX","San Diego, CA","Los Angeles, CA"
"Pittsburgh","PA","1600000US4261000","Buffalo, NY","San Juan, PR","St. Paul, MN","Minneapolis, MN","Anaheim, CA"
