"city","state","geo.id","peer.1","peer.2","peer.3","peer.4","peer.5"
"Milwaukee","WI","1600000US5553000","Detroit, MI","Cincinnati, OH","Columbus (OH), OH","Fort Wayne, IN","Indianapolis, IN"
"Minneapolis","MN","1600000US2743000","Lincoln, NE","St. Paul, MN","Aurora (IL), IL","Des Moines, IA","Grand Rapids, MI"
"Miramar","FL","1600000US1245975","Charleston (SC), SC","Columbia (SC), SC","Gainesville, FL","Palm Bay, FL","Savannah, GA"
"Mobile","AL","1600000US0150000","Birmingham, AL","Chattanooga, TN","Columbus (GA), GA","Jackson, MS","Knoxville, TN"
"Modesto","CA","1600000US0648354","Lancaster, CA","Palmdale, CA","Reno, NV","Elk Grove, CA","Fremont, CA"
"Montgomery","AL","1600000US0151000","Birmingham, AL","Chattanooga, TN","Columbus (GA), GA","Jackson, MS","Knoxville, TN"
"Moreno Valley","CA","1600000US0649270","Irvine, CA","Ontario, CA","San Bernardino, CA","Corona, CA","Fontana, CA"
"Murfreesboro","TN","1600000US4751560","Charleston (WV), WV","Clarksville, TN","Peoria (IL), IL","Springfield (IL), IL","Columbia (MO), MO"
"Murrieta","CA","1600000US0650076","Victorville, CA","Carlsbad, CA","Temecula, CA","Escondido, CA","Costa Mesa, CA"
"Naperville","IL","1600000US1751622","Cedar Rapids, IA","Columbia (MO), MO","Davenport, IA","Dayton, OH","Green Bay, WI"
"New Haven","CT","1600000US0952000","Allentown, PA","Bridgeport, CT","Hartford, CT","Syracuse, NY","Wilmington (DE), DE"
"New Orleans","LA","1600000US2255000","Arlington, TX","Plano, TX","Atlanta, GA","Baton Rouge, LA","Birmingham, AL"
"New York","NY","1600000US3651000","Philadelphia, PA","Baltimore, MD","Boston, MA","Washington, DC","Jersey City, NJ"
"Newark","NJ","1600000US3451000","Buffalo, NY","Jersey City, NJ","Baltimore, MD","Boston, MA","Newport News, VA"
"Newport News","VA","1600000US5156000","Chesapeake, VA","Durham, NC","Fayetteville, NC","Winston-Salem, NC","Richmond (VA), VA"
"Norfolk","VA","1600000US5157000","Chesapeake, VA","Durham, NC","Fayetteville, NC","Winston-Salem, NC","Newport News, VA"
"Norman","OK","1600000US4052500","Denton, TX","Killeen, TX","Abilene, TX","Independence, MO","Kansas City (KS), KS"
"North Las Vegas","NV","1600000US3251800","Lancaster, CA","Palmdale, CA","Peoria (AZ), AZ","Irvine, CA","Ontario, CA"
"Norwalk","CA","1600000US0652526","Thousand Oaks, CA","Simi Valley, CA","Burbank, CA","Costa Mesa, CA","Downey, CA"
"Oakland","CA","1600000US0653000","Fresno, CA","Sacramento, CA","Bakersfield, CA","San Francisco, CA","Stockton, CA"
"Oceanside","CA","1600000US0653322","Irvine, CA","Ontario, CA","San Bernardino, CA","Corona, CA","Fontana, CA"
"Oklahoma City","OK","1600000US4055000","Kansas City (MO), MO","Arlington, TX","Fort Worth, TX","Plano, TX","Tulsa, OK"
"Olathe","KS","1600000US2052575","Joliet, IL","Rochester (MN), MN","Cedar Rapids, IA","Davenport, IA","Norman, OK"
"Omaha","NE","1600000US3137000","Kansas City (MO), MO","Oklahoma City, OK","Lincoln, NE","Minneapolis, MN","St. Louis, MO"
"Ontario","CA","1600000US0653896","Palmdale, CA","Irvine, CA","San Bernardino, CA","Corona, CA","Fontana, CA"
"Orange","CA","1600000US0653980","Torrance, CA","Burbank, CA","Costa Mesa, CA","Downey, CA","Fullerton, CA"
"Orlando","FL","1600000US1253000","St. Petersburg, FL","Tampa, FL","Atlanta, GA","Birmingham, AL","Cape Coral, FL"
"Overland Park","KS","1600000US2053775","Des Moines, IA","Little Rock, AR","Sioux Falls, SD","Rockford, IL","Springfield (MO), MO"
"Oxnard","CA","1600000US0654652","Lancaster, CA","Palmdale, CA","Irvine, CA","Ontario, CA","Santa Clarita, CA"
"Palm Bay","FL","1600000US1254000","Columbia (SC), SC","Gainesville, FL","High Point, NC","Savannah, GA","Wilmington (NC), NC"
"Palmdale","CA","1600000US0655156","Lancaster, CA","Ontario, CA","San Bernardino, CA","Santa Clarita, CA","Corona, CA"
"Pasadena (CA)","CA","1600000US0656000","Burbank, CA","Costa Mesa, CA","Downey, CA","Fullerton, CA","West Covina, CA"
"Pasadena (TX)","TX","1600000US4856000","Brownsville, TX","Grand Prairie, TX","Jackson, MS","Little Rock, AR","McKinney, TX"
"Paterson","NJ","1600000US3457000","Burlington, VT","Manchester, NH","Portland (ME), ME","Stamford, CT","Waterbury, CT"
"Pembroke Pines","FL","1600000US1255775","Birmingham, AL","Cape Coral, FL","Columbus (GA), GA","Fayetteville, NC","Mobile, AL"
"Peoria (AZ)","AZ","1600000US0454050","North Las Vegas, NV","Scottsdale, AZ","Irvine, CA","Ontario, CA","San Bernardino, CA"
"Peoria (IL)","IL","1600000US1759000","Cedar Rapids, IA","Clarksville, TN","Davenport, IA","Springfield (IL), IL","Columbia (MO), MO"
"Philadelphia","PA","1600000US4260000","New York, NY","Baltimore, MD","Boston, MA","Virginia Beach, VA","Washington, DC"
"Phoenix","AZ","1600000US0455000","San Diego, CA","Las Vegas, NV","Mesa, AZ","Tucson, AZ","Anaheim, CA"
"Pittsburgh","PA","1600000US4261000","Fort Wayne, IN","Greensboro, NC","Lexington-Fayette, KY","Cincinnati, OH","Toledo, OH"
"Plano","TX","1600000US4858016","Arlington, TX","Tulsa, OK","Wichita, KS","Amarillo, TX","Garland, TX"
"Pomona","CA","1600000US0658072","Palmdale, CA","Irvine, CA","Ontario, CA","San Bernardino, CA","Santa Clarita, CA"
"Ponce","PR","1600000US7263820","Columbia (SC), SC","Gainesville, FL","Palm Bay, FL","Savannah, GA","Wilmington (NC), NC"
"Port St. Lucie","FL","1600000US1258715","Cape Coral, FL","Birmingham, AL","Columbus (GA), GA","Fayetteville, NC","Mobile, AL"
"Portland (ME)","ME","1600000US2360545","Burlington, VT","Manchester, NH","Stamford, CT","Waterbury, CT","Alexandria, VA"
"Portland (OR)","OR","1600000US4159000","Oakland, CA","Sacramento, CA","Seattle, WA","San Francisco, CA","Stockton, CA"
"Providence","RI","1600000US4459000","Newport News, VA","Springfield (MA), MA","Worcester, MA","Rochester (NY), NY","Yonkers, NY"
"Provo","UT","1600000US4962470","Lakewood, CO","Visalia, CA","West Valley City, UT","Arvada, CO","Thornton, CO"
"Pueblo","CO","1600000US0862000","Abilene, TX","Topeka, KS","Wichita Falls, TX","Cheyenne, WY","Norman, OK"
"Raleigh","NC","1600000US3755000","Atlanta, GA","Baltimore, MD","Virginia Beach, VA","Washington, DC","Charlotte, NC"
"Rancho Cucamonga","CA","1600000US0659451","Lancaster, CA","Palmdale, CA","Irvine, CA","Ontario, CA","San Bernardino, CA"
